Product,Brand,THC,CBD,Type,Code
POWDERED DONUTS,BIG BAG O' BUDS,21.00%,<1%,Indica,BigBagOBuds_PowderedDonuts_28g_Front
INDICA!,B!NGO,15.00%,<1%,Indica,Bingo_Indica_28g_Front
MILLED FLOWER,blendcraft,26.00%,<1%,Hybrid,Blendcraft_MilledFlower_7g_Front
BLK CNDYLND,BOLD,23.00%,<1%,Sativa,BOLD_BLKCNDYLND_3g_Front
LAYER CAKE,BOLD,27.00%,<1%,Indica,BOLD_LayerCake_3g_Front
AMNESIA HAZE,BROKEN COAST,27.00%,<1%,Sativa,BrokenCoast_AmnesiaHaze_3g_Front
ALIEN DAWG,CANACA,18.00%,<1%,Hybrid,Canaca_AlienDawg_3g_Front
INDICA 24,CANACA,24.00%,<1%,Indica,Cancana_Indica24Milled_7g_Front
Rockstar,CANACA,26.00%,<1%,Indica,Cancana_Rockstar_7g_Front
Grower's Pick - Sativa,Current,22.00%,<1%,Sativa,Current_GrowersPickSatavia_28g_Front
BLACK CHERRY PUNCH,FIGR,22.00%,<1%,Indica,FIGR_BlackCherryPunch_3g_Front
Farmer Jane,FARMER JANE,22.00%,<1%,Indica,FarmerJane_Indica_3g_Front
GOLIATH,fishers FINEST,29.00%,<1%,Hybrid,FishersFinest_Goliath_3g_Front
Mandarin cookies LSO,fuga,23.00%,<1%,Sativa,Fuga_LSOMandarinCookies_3g_Front
Dealer's Pick - Sativa,GOOD SUPPLY,19.00%,<1%,Sativa,GoodSupply_DealersPickSatavia_28g_Front
MONKEY BUTTER,GOOD SUPPLY,23.00%,<1%,Indica,GoodSupply_MonkeyButter_3g_Front
RHYTHM / ZK PEBBLES,LOOP POOL,23.00%,<1%,Sativa,LoopPool_RhythmZKPebbles_3g_Front
DESSERT,LowKey,23.00%,<1%,Hybrid,LowKey_LowkeyDessert_3g_Front
HAZE,LowKey,22.00%,<1%,Sativa,LowKey_LowkeyHaze_3g_Front
sage n' sour,MTL Cannabis,25.00%,<1%,Sativa,MTL_SageNSour_14g_Front
STRAWBERRY N' MINTZ,MTL Cannabis,27.00%,<1%,Hybrid,MTL_StrwberryNMintz_3g_Front
Sativa CLASSIC,MUSKOKA GROWN,20.00%,<1%,Sativa,MuskokaGrown_SataviaClassic_28g_Front
K-Smorz,ness,23.00%,<1%,Hybrid,Ness_KSmorz_3g_Front
Grape Gasoline,NORTH 40,26.00%,<1%,Indica,North40_GrapeGasoline_3g_Front
Cherry Cobbler,ONE LEAF,23.00%,<1%,Indica,OneLeaf_CherryCobbler_7g_Front
VICE,ORGENICS,23.00%,<1%,Hybrid,Orgenics_Vice_3g_Front
OS.KUSH,ORIGINAL STASH,22.00%,<1%,Indica,OriginalStash_Kush_28g_Front
OS.RESERVE,ORIGINAL STASH,22.00%,<1%,Sativa,OriginalStash_ReserveSatavia_28g_Front
Oreoz,OUEST,27.00%,<1%,Indica,Ouest_Oreoz_3g_Front
PLATINUM COOKIES,PALMETTO,25.00%,<1%,Sativa,Palmetto_PlatnumCookies_14g_Front
D. BUBBA,PURE SUNFARMS,20.00%,<1%,Indica,PureSunfarms_DBubba_14g_Front
JET FUEL GELATO,PURE SUNFARMS,22.00%,<1%,Hybrid,PureSunFarms_JetFuelGelato_3g_Front
RESERVE,QWEST,26.00%,<1%,Hybrid,Qwest_KushMints_3g_Front
Karaoke Bar,RANDOM ACTS,25.00%,<1%,Indica,RandomActs_KaraokeBar_3g_Front
Storm Stayed,RANDOM ACTS,20.00%,<1%,Hybrid,RandomActs_StormStayed_3g_Front
COLD CREEK,REDECAN,21.00%,<1%,Sativa,Redecan_ColdCreekKush_1g_Front
GILDED GRAMS,RIFF,20.00%,2%,Sativa,RIFF_GildedGrams_28g_Front
ISLAND CHERRY,SEV7N,25.00%,<1%,Indica,SEV7N_IslandCherry_28g_Front
Balance,Solei,6.00%,10%,Hybrid,Solie_Balance_1g_Front
Cocoa Bomba,Spinach,23.00%,<1%,Hybrid,Spinach_CocoaBomba_28g_Front
CHOCOLATE MINT OG,STEEL CITY,22.00%,<1%,Indica,SteelCityGreen_ChocolateMintOG_7g_Front
GRILLED CHEESE,TABLE TOP,22.00%,<1%,Indica,TableTop_GrilledCheese_3g_Front
OUNCE,THE BATCH,20.00%,<1%,Sativa,TheBatch_SataviaOunce_28g_Front
Ghost Train Haze,UP20,22.00%,<1%,Sativa,UP20_GhostTrainHaze_3g_Front
CHERRY JAM,WAGNERS,22.00%,<1%,Indica,Wagners_CherryJam_28g_Front
DARK HELMET,WAGNERS,23.00%,<1%,Sativa,Wagners_DarkHelmet_28g_Front
PINK BUBBA,WAGNERS,21.00%,<1%,Indica,Wagners_PinkBubba_28g_Front
TIKI RAIN,WAGNERS,24.00%,<1%,Sativa,Wagners_TikiRain_3g_Front
BLUE IGUANA,WEEDME,25.00%,<1%,Sativa,WeedMe_BlueIguana_3g_Front
Black Berry Gelato,WILDLIFE,25.00%,<1%,Hybrid,WildLife_BlackBerryGelato_3g_Front
Sun County Kush,WILDLIFE,24.00%,<1%,Hybrid,Wildlife_SunCountryKush_3g_Front
